,ORIGIN_AIRPORT,delay,date
0,ABE,1,2015-12-18
1,ABI,5,2015-12-18
2,ABQ,24,2015-12-18
3,ABY,1,2015-12-18
4,ACT,3,2015-12-18
5,ACY,6,2015-12-18
6,AEX,8,2015-12-18
7,AGS,4,2015-12-18
8,ALB,19,2015-12-18
9,ALO,2,2015-12-18
10,AMA,4,2015-12-18
11,ANC,35,2015-12-18
12,APN,1,2015-12-18
13,ASE,14,2015-12-18
14,ATL,527,2015-12-18
15,ATW,4,2015-12-18
16,AUS,54,2015-12-18
17,AVL,4,2015-12-18
18,AVP,3,2015-12-18
19,AZO,5,2015-12-18
20,BDL,40,2015-12-18
21,BET,1,2015-12-18
22,BFL,3,2015-12-18
23,BGM,2,2015-12-18
24,BHM,18,2015-12-18
25,BIL,3,2015-12-18
26,BIS,4,2015-12-18
27,BJI,2,2015-12-18
28,BLI,1,2015-12-18
29,BMI,7,2015-12-18
30,BNA,67,2015-12-18
31,BOI,27,2015-12-18
32,BOS,170,2015-12-18
33,BPT,1,2015-12-18
34,BQK,3,2015-12-18
35,BQN,1,2015-12-18
36,BRD,2,2015-12-18
37,BRO,7,2015-12-18
38,BRW,2,2015-12-18
39,BTM,2,2015-12-18
40,BTR,19,2015-12-18
41,BTV,8,2015-12-18
42,BUF,30,2015-12-18
43,BUR,26,2015-12-18
44,BWI,93,2015-12-18
45,BZN,11,2015-12-18
46,CAE,11,2015-12-18
47,CAK,12,2015-12-18
48,CDC,1,2015-12-18
49,CDV,2,2015-12-18
50,CHA,9,2015-12-18
51,CHO,4,2015-12-18
52,CHS,13,2015-12-18
53,CID,16,2015-12-18
54,CLE,59,2015-12-18
55,CLL,3,2015-12-18
56,CLT,133,2015-12-18
57,CMH,32,2015-12-18
58,CMI,5,2015-12-18
59,CMX,2,2015-12-18
60,COS,10,2015-12-18
61,COU,3,2015-12-18
62,CPR,3,2015-12-18
63,CRP,8,2015-12-18
64,CRW,3,2015-12-18
65,CSG,1,2015-12-18
66,CVG,37,2015-12-18
67,CWA,4,2015-12-18
68,DAB,3,2015-12-18
69,DAL,62,2015-12-18
70,DAY,13,2015-12-18
71,DBQ,2,2015-12-18
72,DCA,122,2015-12-18
73,DEN,238,2015-12-18
74,DFW,412,2015-12-18
75,DHN,3,2015-12-18
76,DLH,3,2015-12-18
77,DRO,5,2015-12-18
78,DSM,19,2015-12-18
79,DTW,196,2015-12-18
80,DVL,1,2015-12-18
81,EAU,1,2015-12-18
82,ECP,9,2015-12-18
83,EGE,7,2015-12-18
84,EKO,1,2015-12-18
85,ELM,4,2015-12-18
86,ELP,24,2015-12-18
87,ERI,1,2015-12-18
88,ESC,1,2015-12-18
89,EUG,3,2015-12-18
90,EVV,8,2015-12-18
91,EWN,1,2015-12-18
92,EWR,153,2015-12-18
93,EYW,1,2015-12-18
94,FAI,3,2015-12-18
95,FAR,12,2015-12-18
96,FAT,11,2015-12-18
97,FAY,1,2015-12-18
98,FCA,3,2015-12-18
99,FLG,2,2015-12-18
100,FLL,95,2015-12-18
101,FNT,9,2015-12-18
102,FSD,7,2015-12-18
103,FSM,4,2015-12-18
104,FWA,13,2015-12-18
105,GCC,2,2015-12-18
106,GCK,2,2015-12-18
107,GEG,6,2015-12-18
108,GFK,4,2015-12-18
109,GGG,2,2015-12-18
110,GJT,5,2015-12-18
111,GNV,5,2015-12-18
112,GPT,7,2015-12-18
113,GRB,9,2015-12-18
114,GRI,2,2015-12-18
115,GRK,7,2015-12-18
116,GRR,21,2015-12-18
117,GSO,10,2015-12-18
118,GSP,14,2015-12-18
119,GTF,5,2015-12-18
120,GTR,2,2015-12-18
121,GUC,3,2015-12-18
122,HDN,5,2015-12-18
123,HIB,2,2015-12-18
124,HLN,3,2015-12-18
125,HNL,57,2015-12-18
126,HOB,2,2015-12-18
127,HOU,47,2015-12-18
128,HPN,8,2015-12-18
129,HRL,7,2015-12-18
130,HSV,6,2015-12-18
131,HYS,1,2015-12-18
132,IAD,59,2015-12-18
133,IAH,229,2015-12-18
134,ICT,20,2015-12-18
135,IDA,7,2015-12-18
136,ILM,5,2015-12-18
137,IMT,1,2015-12-18
138,IND,45,2015-12-18
139,INL,2,2015-12-18
140,ISN,3,2015-12-18
141,ISP,6,2015-12-18
142,ITO,8,2015-12-18
143,JAC,9,2015-12-18
144,JAN,15,2015-12-18
145,JAX,23,2015-12-18
146,JFK,110,2015-12-18
147,JLN,2,2015-12-18
148,JMS,1,2015-12-18
149,JNU,8,2015-12-18
150,KOA,20,2015-12-18
151,KTN,6,2015-12-18
152,LAN,3,2015-12-18
153,LAS,177,2015-12-18
154,LAW,4,2015-12-18
