,MONTH,DAY,ORIGIN_AIRPORT,count,year,date
0,12,18,ABE,7,2015,2015-12-18
1,12,18,ABI,8,2015,2015-12-18
2,12,18,ABQ,55,2015,2015-12-18
3,12,18,ABR,2,2015,2015-12-18
4,12,18,ABY,3,2015,2015-12-18
5,12,18,ACT,5,2015,2015-12-18
6,12,18,ACV,4,2015,2015-12-18
7,12,18,ACY,10,2015,2015-12-18
8,12,18,ADQ,1,2015,2015-12-18
9,12,18,AEX,11,2015,2015-12-18
10,12,18,AGS,8,2015,2015-12-18
11,12,18,ALB,28,2015,2015-12-18
12,12,18,ALO,2,2015,2015-12-18
13,12,18,AMA,9,2015,2015-12-18
14,12,18,ANC,46,2015,2015-12-18
15,12,18,APN,2,2015,2015-12-18
16,12,18,ASE,24,2015,2015-12-18
17,12,18,ATL,1063,2015,2015-12-18
18,12,18,ATW,6,2015,2015-12-18
19,12,18,AUS,132,2015,2015-12-18
20,12,18,AVL,7,2015,2015-12-18
21,12,18,AVP,5,2015,2015-12-18
22,12,18,AZO,7,2015,2015-12-18
23,12,18,BDL,61,2015,2015-12-18
24,12,18,BET,3,2015,2015-12-18
25,12,18,BFL,8,2015,2015-12-18
26,12,18,BGM,3,2015,2015-12-18
27,12,18,BGR,1,2015,2015-12-18
28,12,18,BHM,40,2015,2015-12-18
29,12,18,BIL,7,2015,2015-12-18
30,12,18,BIS,8,2015,2015-12-18
31,12,18,BJI,2,2015,2015-12-18
32,12,18,BLI,4,2015,2015-12-18
33,12,18,BMI,9,2015,2015-12-18
34,12,18,BNA,147,2015,2015-12-18
35,12,18,BOI,42,2015,2015-12-18
36,12,18,BOS,314,2015,2015-12-18
37,12,18,BPT,3,2015,2015-12-18
38,12,18,BQK,3,2015,2015-12-18
39,12,18,BQN,5,2015,2015-12-18
40,12,18,BRD,2,2015,2015-12-18
41,12,18,BRO,7,2015,2015-12-18
42,12,18,BRW,3,2015,2015-12-18
43,12,18,BTM,2,2015,2015-12-18
44,12,18,BTR,21,2015,2015-12-18
45,12,18,BTV,15,2015,2015-12-18
46,12,18,BUF,53,2015,2015-12-18
47,12,18,BUR,60,2015,2015-12-18
48,12,18,BWI,272,2015,2015-12-18
49,12,18,BZN,13,2015,2015-12-18
50,12,18,CAE,16,2015,2015-12-18
51,12,18,CAK,17,2015,2015-12-18
52,12,18,CDC,2,2015,2015-12-18
53,12,18,CDV,2,2015,2015-12-18
54,12,18,CHA,15,2015,2015-12-18
55,12,18,CHO,7,2015,2015-12-18
56,12,18,CHS,35,2015,2015-12-18
57,12,18,CID,19,2015,2015-12-18
58,12,18,CIU,2,2015,2015-12-18
59,12,18,CLE,98,2015,2015-12-18
60,12,18,CLL,5,2015,2015-12-18
61,12,18,CLT,320,2015,2015-12-18
62,12,18,CMH,71,2015,2015-12-18
63,12,18,CMI,7,2015,2015-12-18
64,12,18,CMX,2,2015,2015-12-18
65,12,18,COD,1,2015,2015-12-18
66,12,18,COS,23,2015,2015-12-18
67,12,18,COU,4,2015,2015-12-18
68,12,18,CPR,4,2015,2015-12-18
69,12,18,CRP,12,2015,2015-12-18
70,12,18,CRW,8,2015,2015-12-18
