,ORIGIN_AIRPORT,count,date
0,ABE,7,2015-12-18
1,ABI,8,2015-12-18
2,ABQ,55,2015-12-18
3,ABR,2,2015-12-18
4,ABY,3,2015-12-18
5,ACT,5,2015-12-18
6,ACV,4,2015-12-18
7,ACY,10,2015-12-18
8,ADQ,1,2015-12-18
9,AEX,11,2015-12-18
10,AGS,8,2015-12-18
11,ALB,28,2015-12-18
12,ALO,2,2015-12-18
13,AMA,9,2015-12-18
14,ANC,46,2015-12-18
15,APN,2,2015-12-18
16,ASE,24,2015-12-18
17,ATL,1063,2015-12-18
18,ATW,6,2015-12-18
19,AUS,132,2015-12-18
20,AVL,7,2015-12-18
21,AVP,5,2015-12-18
22,AZO,7,2015-12-18
23,BDL,61,2015-12-18
24,BET,3,2015-12-18
25,BFL,8,2015-12-18
26,BGM,3,2015-12-18
27,BGR,1,2015-12-18
28,BHM,40,2015-12-18
29,BIL,7,2015-12-18
30,BIS,8,2015-12-18
31,BJI,2,2015-12-18
32,BLI,4,2015-12-18
33,BMI,9,2015-12-18
34,BNA,147,2015-12-18
35,BOI,42,2015-12-18
36,BOS,314,2015-12-18
37,BPT,3,2015-12-18
38,BQK,3,2015-12-18
39,BQN,5,2015-12-18
40,BRD,2,2015-12-18
41,BRO,7,2015-12-18
42,BRW,3,2015-12-18
43,BTM,2,2015-12-18
44,BTR,21,2015-12-18
45,BTV,15,2015-12-18
46,BUF,53,2015-12-18
47,BUR,60,2015-12-18
48,BWI,272,2015-12-18
49,BZN,13,2015-12-18
50,CAE,16,2015-12-18
51,CAK,17,2015-12-18
52,CDC,2,2015-12-18
53,CDV,2,2015-12-18
54,CHA,15,2015-12-18
55,CHO,7,2015-12-18
56,CHS,35,2015-12-18
57,CID,19,2015-12-18
58,CIU,2,2015-12-18
59,CLE,98,2015-12-18
60,CLL,5,2015-12-18
61,CLT,320,2015-12-18
62,CMH,71,2015-12-18
63,CMI,7,2015-12-18
64,CMX,2,2015-12-18
65,COD,1,2015-12-18
66,COS,23,2015-12-18
67,COU,4,2015-12-18
68,CPR,4,2015-12-18
69,CRP,12,2015-12-18
70,CRW,8,2015-12-18
71,CSG,3,2015-12-18
72,CVG,63,2015-12-18
73,CWA,4,2015-12-18
74,DAB,4,2015-12-18
75,DAL,202,2015-12-18
76,DAY,27,2015-12-18
77,DBQ,3,2015-12-18
78,DCA,222,2015-12-18
79,DEN,647,2015-12-18
80,DFW,751,2015-12-18
81,DHN,4,2015-12-18
82,DLH,7,2015-12-18
83,DRO,7,2015-12-18
84,DSM,30,2015-12-18
85,DTW,352,2015-12-18
86,DVL,2,2015-12-18
87,EAU,2,2015-12-18
88,ECP,11,2015-12-18
89,EGE,10,2015-12-18
90,EKO,2,2015-12-18
91,ELM,7,2015-12-18
92,ELP,37,2015-12-18
93,ERI,2,2015-12-18
94,ESC,2,2015-12-18
95,EUG,10,2015-12-18
96,EVV,13,2015-12-18
97,EWN,2,2015-12-18
98,EWR,348,2015-12-18
99,EYW,4,2015-12-18
100,FAI,6,2015-12-18
101,FAR,21,2015-12-18
102,FAT,20,2015-12-18
103,FAY,6,2015-12-18
104,FCA,5,2015-12-18
105,FLG,6,2015-12-18
106,FLL,254,2015-12-18
107,FNT,14,2015-12-18
108,FSD,13,2015-12-18
109,FSM,6,2015-12-18
110,FWA,16,2015-12-18
111,GCC,3,2015-12-18
112,GCK,2,2015-12-18
113,GEG,30,2015-12-18
114,GFK,4,2015-12-18
115,GGG,2,2015-12-18
116,GJT,11,2015-12-18
117,GNV,9,2015-12-18
118,GPT,9,2015-12-18
119,GRB,12,2015-12-18
120,GRI,2,2015-12-18
121,GRK,11,2015-12-18
122,GRR,30,2015-12-18
123,GSO,18,2015-12-18
124,GSP,24,2015-12-18
125,GTF,6,2015-12-18
126,GTR,3,2015-12-18
127,GUC,3,2015-12-18
128,GUM,1,2015-12-18
129,HDN,6,2015-12-18
130,HIB,3,2015-12-18
131,HLN,4,2015-12-18
132,HNL,140,2015-12-18
133,HOB,2,2015-12-18
134,HOU,166,2015-12-18
135,HPN,21,2015-12-18
136,HRL,9,2015-12-18
137,HSV,15,2015-12-18
138,HYS,2,2015-12-18
139,IAD,98,2015-12-18
140,IAG,1,2015-12-18
141,IAH,437,2015-12-18
142,ICT,27,2015-12-18
143,IDA,8,2015-12-18
144,ILM,6,2015-12-18
145,IMT,2,2015-12-18
146,IND,88,2015-12-18
147,INL,2,2015-12-18
148,ISN,6,2015-12-18
149,ISP,13,2015-12-18
150,ITO,17,2015-12-18
151,JAC,16,2015-12-18
152,JAN,21,2015-12-18
153,JAX,58,2015-12-18
154,JFK,271,2015-12-18
155,JLN,2,2015-12-18
156,JMS,3,2015-12-18
157,JNU,11,2015-12-18
158,KOA,35,2015-12-18
159,KTN,6,2015-12-18
160,LAN,9,2015-12-18
161,LAR,2,2015-12-18
162,LAS,410,2015-12-18
163,LAW,4,2015-12-18
164,LAX,597,2015-12-18
165,LBB,16,2015-12-18
166,LBE,3,2015-12-18
167,LCH,6,2015-12-18
168,LEX,19,2015-12-18
169,LFT,13,2015-12-18
170,LGA,274,2015-12-18
171,LGB,26,2015-12-18
172,LIH,38,2015-12-18
173,LIT,31,2015-12-18
174,LNK,8,2015-12-18
175,LRD,6,2015-12-18
176,LSE,6,2015-12-18
177,LWS,2,2015-12-18
178,MAF,19,2015-12-18
179,MBS,5,2015-12-18
180,MCI,122,2015-12-18
181,MCO,363,2015-12-18
182,MDT,8,2015-12-18
183,MDW,240,2015-12-18
184,MEI,3,2015-12-18
185,MEM,44,2015-12-18
186,MFE,8,2015-12-18
187,MFR,8,2015-12-18
188,MGM,11,2015-12-18
189,MHK,5,2015-12-18
190,MHT,16,2015-12-18
191,MIA,220,2015-12-18
192,MKE,89,2015-12-18
193,MKG,2,2015-12-18
194,MLB,4,2015-12-18
195,MLI,12,2015-12-18
196,MLU,9,2015-12-18
197,MMH,1,2015-12-18
198,MOB,17,2015-12-18
199,MOT,6,2015-12-18
200,MQT,1,2015-12-18
201,MRY,7,2015-12-18
202,MSN,30,2015-12-18
203,MSO,5,2015-12-18
204,MSP,336,2015-12-18
205,MSY,119,2015-12-18
206,MTJ,6,2015-12-18
207,MYR,7,2015-12-18
208,OAJ,3,2015-12-18
209,OAK,138,2015-12-18
210,OGG,70,2015-12-18
211,OKC,52,2015-12-18
212,OMA,57,2015-12-18
213,OME,2,2015-12-18
214,ONT,56,2015-12-18
215,ORD,881,2015-12-18
216,ORF,30,2015-12-18
217,ORH,2,2015-12-18
218,OTH,1,2015-12-18
219,OTZ,2,2015-12-18
220,PAH,2,2015-12-18
221,PBG,1,2015-12-18
222,PBI,82,2015-12-18
223,PDX,158,2015-12-18
224,PHF,4,2015-12-18
225,PHL,213,2015-12-18
226,PHX,469,2015-12-18
227,PIA,16,2015-12-18
228,PIB,2,2015-12-18
229,PIH,2,2015-12-18
230,PIT,74,2015-12-18
231,PLN,2,2015-12-18
232,PNS,19,2015-12-18
233,PPG,1,2015-12-18
234,PSC,11,2015-12-18
235,PSE,3,2015-12-18
236,PSG,2,2015-12-18
237,PSP,27,2015-12-18
238,PVD,40,2015-12-18
239,PWM,16,2015-12-18
240,RAP,8,2015-12-18
241,RDD,2,2015-12-18
242,RDM,7,2015-12-18
243,RDU,103,2015-12-18
244,RHI,3,2015-12-18
245,RIC,48,2015-12-18
